Rank 26,Company,Location,Turnover £m,Pre-tax Profit £m,Year End
421,HUB SOUTH WEST SCOTLAND LIMITED,Glasgow,  106.5,  1.1,Dec 24
422,THE TPS HEALTHCARE GROUP LIMITED,Glasgow,  72.4,  1.3,Mar 25
423,PACKAGING WITH ROBOTS LTD,Bellshill,  25.9,  4.1,Dec 24
424,MPACT GROUP LTD,Loanhead,  26.9,  3.9,Mar 25
425,SIMPSON OILS LIMITED,Wick,  77.0,  1.3,Oct 24
426,INVERLUSSA SHELLFISH COMPANY LIMITED,Isle Of Mull,  22.7,  5.0,Mar 25
427,FAILTE GROUP LIMITED,Glasgow,  30.2,  2.9,Jan 25
428,VERIPOS LIMITED,Aberdeen,  20.8,  6.1,Dec 24
429,THE GLENALLACHIE DISTILLERS CO LIMITED,Aberlour,  20.0,  6.9,Dec 24
430,VEITCHI (HOLDINGS) LIMITED,Glasgow,  37.4,  2.2,Nov 24
431,"J.C. PEACOCK & CO., LIMITED",Ayr,  37.7,  2.1,Apr 25
432,FOODSERVICE EQUIPMENT MARKETING LIMITED,Glasgow,  22.4,  4.7,Dec 24
433,CAKE DECOR LTD,Glasgow,  20.5,  2.4,Dec 24
434,WASTEPACK LIMITED,Edinburgh,  21.5,  5.0,Dec 24
435,GILLESPIE MACANDREW LLP,Edinburgh,  19.6,  6.3,Feb 25
436,W.P.BRUCE LIMITED,Blairgowrie,  19.8,  6.1,Jun 24
437,MCCURRACH UK LTD.,,  37.7,  2.0,Jun 24
438,BARONY INTERNATIONAL LIMITED,Irvine,  41.1,  1.8,Dec 24
439,SPARK OF GENIUS (TRAINING) LTD.,Paisley,  18.9,  7.1,Sep 24
440,ROLLSTUD LIMITED,Aberdeen,  28.4,  2.9,May 24
441,LOMOND FINE FOODS LIMITED,Glasgow,  41.7,  1.7,Dec 24
442,FARID HILLEND ENGINEERING LIMITED,Dunfermline,  35.8,  2.1,Dec 24
443,SIGNATORY VINTAGE SCOTCH WHISKY COMPANY LIMITED,Pitlochry,  16.5,  11.6,Mar 25
444,BRIGGS COMMERCIAL LIMITED,Burntisland,  75.5,  1.1,Mar 25
445,KILMAC LTD,Dundee,  29.9,  2.5,Sep 24
446,HENRYS (GLASGOW) LIMITED,Glasgow,  62.2,  1.2,Dec 24
447,PROCAST BUILDING CONTRACTORS LTD.,Hamilton,  54.0,  1.3,Mar 25
448,STRATHBERRY GROUP LIMITED,Edinburgh,  26.9,  3.0,Apr 24
449,BILLY BOWIE SPECIAL PROJECTS LIMITED,Kilmarnock,  19.6,  5.6,May 24
450,FREEAGENT CENTRAL LTD,Edinburgh,  29.0,  2.5,Dec 24
451,CALL-IN HOMECARE LIMITED,Edinburgh,  27.2,  2.9,Dec 24
452,WOODBRIDGE TIMBER LIMITED,Livingston,  42.1,  1.6,Mar 25
453,AVONDALE CARE (SCOTLAND) LIMITED,Falkirk,  21.3,  4.5,Apr 25
454,HUNTER LAING HOLDINGS LIMITED,Glasgow,  18.1,  6.3,Apr 24
455,BLACKADDERS LLP,Dundee,  18.2,  6.2,Mar 25
456,PATERSONS QUARRIES LIMITED,Coatbridge,  73.6,  1.1,Nov 24
457,NATIONALTRUST FOR SCOTLAND ENTERPRISES LTD.,Edinburgh,  21.8,  4.1,Feb 25
458,LINEAR UK GROUP LIMITED,Motherwell,  62.9,  1.1,Sep 24
459,DALKEITH RETAIL CENTRE LIMITED,Dalkeith,  91.7,  0.9,Dec 24
460,ENERQUIP HOLDINGS LIMITED,Aberdeen,  21.8,  3.9,Dec 24
461,GRAHAMS THE FAMILY DAIRY GROUP LIMITED,Stirling,  154.9,  0.7,Mar 25
462,EARLS GATE UTILITIES LIMITED,Grangemouth,  21.8,  7.9,Dec 24
463,C R ENCAPSULATION LIMITED,Aberdeen,  11.8,  4.3,Dec 24
464,HAMILTON ROSS HOLDINGS LIMITED,Lanark,  57.9,  1.2,Feb 25
465,MB AIR SYSTEMS LIMITED,Wishaw,  25.6,  2.8,Dec 24
466,KNIGHT PROPERTY GROUP PLC,Aberdeen,  50.0,  1.3,Dec 24
467,DOLBY MEDICAL HOME RESPIRATORY CARE LIMITED,Stirling,  35.4,  1.8,Dec 24
468,R.M. EASDALE & COMPANY LIMITED,Glasgow,  76.6,  0.9,Dec 24
469,THOMAS TUNNOCK LIMITED,Glasgow,  87.7,  0.8,Feb 25
470,ETB TECHNOLOGIES LIMITED,Dalbeattie,  18.8,  5.0,Dec 24
471,MULHOLLAND CONTRACTS LIMITED,West Calder,  41.2,  1.5,Jul 24
